claim_id,order_id,claim_date,claim_type,resolution,cost_to_company
175,6124,2024-12-19,return,refunded,299.0
176,6134,2025-01-01,return,refunded,499.0
177,6187,2025-01-06,return,refunded,424.15
178,900159,2025-01-15,warranty,replaced,150.0
179,6229,2025-01-01,return,refunded,299.0
180,6233,2024-12-31,warranty,repaired,150.0
181,6239,2025-01-18,return,refunded,299.0
182,6265,2025-01-10,warranty,replaced,129.0
183,6321,2024-12-27,warranty,repaired,150.0
184,6338,2025-01-20,warranty,repaired,129.0
185,6357,2025-01-19,return,refunded,349.0
186,6369,2025-01-09,warranty,repaired,150.0
187,6385,2025-01-01,return,refunded,314.1
188,6387,2025-01-02,return,refunded,299.0
189,6405,2025-01-04,return,refunded,349.0
190,6407,2025-01-21,warranty,repaired,129.0
191,6472,2025-01-08,warranty,repaired,150.0
192,6492,2025-01-02,return,refunded,349.0
193,6566,2025-01-12,return,refunded,299.0
194,6585,2025-01-28,warranty,replaced,129.0
195,6596,2025-01-12,warranty,repaired,142.0
196,6646,2025-01-28,warranty,repaired,142.0
197,6674,2025-01-22,return,refunded,349.0
198,6685,2025-01-29,warranty,replaced,129.0
199,6692,2025-01-19,return,refunded,349.0
200,6740,2025-02-04,warranty,repaired,150.0
201,6771,2025-01-15,warranty,repaired,150.0
202,6892,2025-01-17,warranty,replaced,150.0
203,6905,2025-02-10,warranty,replaced,142.0
204,6922,2025-01-31,warranty,replaced,215.0
205,6984,2025-01-15,return,refunded,349.0
206,6985,2025-01-13,warranty,replaced,150.0
207,7007,2025-01-24,return,refunded,349.0
208,7133,2025-01-28,warranty,replaced,150.0
209,7147,2025-02-03,return,refunded,349.0
210,7154,2025-02-07,warranty,replaced,150.0
211,7169,2025-01-16,warranty,replaced,142.0
212,7190,2025-01-31,warranty,repaired,150.0
213,7227,2025-02-11,return,refunded,349.0
214,7238,2025-02-16,warranty,replaced,150.0
215,7399,2025-02-28,warranty,repaired,129.0
216,7427,2025-02-06,return,refunded,449.1
217,7443,2025-01-29,warranty,replaced,150.0
218,7480,2025-02-25,return,refunded,329.0
219,7509,2025-02-03,return,refunded,296.65
220,7530,2025-02-09,return,refunded,499.0
221,7533,2025-03-05,warranty,repaired,150.0
222,7537,2025-02-03,warranty,replaced,142.0
223,7559,2025-03-07,warranty,repaired,150.0
224,7616,2025-02-13,warranty,replaced,150.0
225,7619,2025-03-11,return,refunded,349.0
226,7685,2025-03-09,warranty,replaced,150.0
227,7721,2025-02-25,return,refunded,349.0
228,7739,2025-03-16,warranty,replaced,150.0
229,7752,2025-03-03,return,refunded,349.0
230,7777,2025-02-12,warranty,repaired,150.0
231,7802,2025-02-24,warranty,repaired,129.0
232,7877,2025-02-18,warranty,repaired,129.0
233,7879,2025-03-14,return,refunded,349.0
234,7919,2025-02-17,warranty,repaired,129.0
235,8017,2025-03-08,warranty,repaired,142.0
236,8033,2025-03-07,return,refunded,349.0
237,8075,2025-02-24,return,refunded,349.0
238,8077,2025-03-08,return,refunded,349.0
239,8148,2025-03-04,warranty,replaced,150.0
240,8152,2025-02-25,return,refunded,499.0
241,8175,2025-03-17,return,refunded,349.0
242,8205,2025-03-01,return,refunded,349.0
243,8234,2025-03-12,warranty,repaired,129.0
244,8249,2025-03-16,return,refunded,349.0
245,8317,2025-03-14,warranty,replaced,150.0
246,8318,2025-03-06,warranty,replaced,150.0
247,8373,2025-04-05,warranty,repaired,142.0
248,8393,2025-03-25,return,refunded,349.0
249,8400,2025-03-30,return,refunded,299.0
250,8449,2025-03-31,warranty,repaired,129.0
251,8451,2025-03-14,warranty,repaired,129.0
252,8459,2025-04-13,warranty,replaced,150.0
253,8498,2025-03-11,warranty,repaired,150.0
254,8510,2025-04-15,return,refunded,499.0
255,8554,2025-04-06,warranty,replaced,129.0
256,8555,2025-03-20,warranty,replaced,129.0
257,8556,2025-03-31,warranty,repaired,142.0
258,8575,2025-04-18,warranty,replaced,150.0
259,8577,2025-04-11,return,refunded,349.0
260,8616,2025-03-29,warranty,repaired,215.0
261,8660,2025-04-20,warranty,repaired,129.0
262,8736,2025-04-06,warranty,replaced,215.0
263,8782,2025-03-28,warranty,replaced,150.0
264,8785,2025-03-22,warranty,replaced,129.0
265,8798,2025-04-01,return,refunded,299.0
266,8882,2025-03-29,warranty,replaced,215.0
267,8924,2025-04-12,warranty,replaced,129.0
268,8962,2025-04-10,warranty,replaced,129.0
269,9018,2025-04-05,return,refunded,329.0
270,9047,2025-04-26,warranty,replaced,129.0
271,9071,2025-05-04,warranty,repaired,150.0
272,9113,2025-04-19,warranty,repaired,129.0
273,9114,2025-04-20,return,refunded,499.0
274,9206,2025-04-19,warranty,replaced,150.0
275,9253,2025-04-28,warranty,replaced,150.0
276,9276,2025-04-27,warranty,replaced,150.0
277,9322,2025-05-09,return,refunded,349.0
278,9348,2025-05-15,warranty,replaced,150.0
279,9394,2025-04-27,warranty,replaced,129.0
280,9490,2025-05-10,warranty,repaired,215.0
281,9516,2025-05-05,warranty,replaced,150.0
282,9559,2025-04-19,return,refunded,349.0
283,9570,2025-05-07,warranty,replaced,150.0
284,9819,2025-05-04,return,refunded,349.0
285,9838,2025-05-16,warranty,replaced,150.0
286,9852,2025-05-03,return,refunded,314.1
287,9880,2025-05-06,return,refunded,349.0
288,9884,2025-06-03,return,refunded,254.15
289,9899,2025-05-21,warranty,replaced,150.0
290,9913,2025-05-26,warranty,replaced,215.0
291,9916,2025-05-13,warranty,repaired,150.0
292,9928,2025-05-15,return,refunded,254.15
293,9933,2025-06-05,warranty,repaired,150.0
294,9939,2025-05-30,warranty,repaired,150.0
295,9946,2025-06-03,return,refunded,349.0
296,10010,2025-05-29,warranty,repaired,150.0
297,10022,2025-06-05,return,refunded,349.0
298,10043,2025-05-25,warranty,replaced,215.0
299,10079,2025-06-03,warranty,replaced,129.0
300,10124,2025-05-31,warranty,replaced,150.0
301,10157,2025-06-01,warranty,replaced,150.0
302,10189,2025-05-17,warranty,replaced,142.0
303,10233,2025-06-10,warranty,replaced,129.0
304,10277,2025-06-11,warranty,replaced,129.0
305,10326,2025-06-17,warranty,replaced,129.0
306,10373,2025-06-21,return,refunded,349.0
307,10468,2025-05-21,warranty,repaired,150.0
308,10480,2025-06-18,warranty,replaced,150.0
309,10509,2025-05-27,warranty,repaired,142.0
310,10511,2025-06-09,return,refunded,349.0
311,10536,2025-05-29,warranty,replaced,129.0
312,10553,2025-05-28,warranty,repaired,150.0
313,10554,2025-05-29,warranty,replaced,150.0
314,10560,2025-06-18,warranty,repaired,129.0
315,10563,2025-06-06,warranty,replaced,150.0
316,10634,2025-06-12,return,refunded,499.0
317,10671,2025-07-02,return,refunded,299.0
318,10676,2025-06-22,warranty,repaired,150.0
319,10684,2025-06-05,return,refunded,254.15
320,10698,2025-06-16,return,refunded,299.0
321,10709,2025-06-17,warranty,repaired,150.0
322,10833,2025-06-04,warranty,repaired,129.0
323,10871,2025-06-26,warranty,repaired,129.0
324,10909,2025-06-04,warranty,replaced,142.0
325,10929,2025-07-01,warranty,replaced,150.0
326,10973,2025-07-06,warranty,replaced,215.0
327,11004,2025-07-02,return,refunded,349.0
328,11135,2025-06-13,warranty,repaired,150.0
329,11156,2025-07-06,return,refunded,299.0
330,11288,2025-07-18,warranty,replaced,150.0
331,11293,2025-06-17,return,refunded,314.1
332,11351,2025-07-08,return,refunded,269.1
333,11372,2025-06-28,warranty,replaced,142.0
334,11433,2025-07-24,return,refunded,349.0
335,11504,2025-07-05,warranty,repaired,215.0
336,11547,2025-06-30,warranty,replaced,215.0
337,11585,2025-07-21,return,refunded,269.1
338,11616,2025-07-16,warranty,replaced,150.0
339,11676,2025-07-06,return,refunded,349.0
340,11703,2025-07-26,warranty,repaired,150.0
341,11715,2025-07-07,return,refunded,349.0
342,11730,2025-07-07,warranty,repaired,150.0
343,11741,2025-07-20,return,refunded,296.1
344,11753,2025-07-24,return,refunded,349.0
345,11790,2025-07-12,warranty,repaired,150.0
346,11795,2025-07-23,return,refunded,296.65
347,11802,2025-07-04,warranty,repaired,150.0
348,11809,2025-07-14,return,refunded,499.0
349,11827,2025-07-15,warranty,repaired,150.0
350,11890,2025-07-11,warranty,repaired,129.0
351,11913,2025-08-04,warranty,replaced,129.0
352,11915,2025-08-01,return,refunded,424.15
353,11935,2025-07-29,warranty,replaced,150.0
354,11970,2025-08-04,return,refunded,299.0
355,12025,2025-07-25,return,refunded,349.0
356,12053,2025-07-22,warranty,repaired,150.0
357,12128,2025-08-03,warranty,repaired,150.0
358,12172,2025-07-27,warranty,replaced,129.0
359,12173,2025-08-04,warranty,repaired,150.0
360,12175,2025-08-09,warranty,repaired,150.0
361,12210,2025-08-01,warranty,repaired,129.0
362,12432,2025-08-05,warranty,repaired,129.0
363,12473,2025-08-19,warranty,replaced,129.0
364,12496,2025-08-08,warranty,replaced,150.0
365,12521,2025-07-27,warranty,replaced,129.0
366,12539,2025-08-13,warranty,repaired,129.0
367,12585,2025-07-25,warranty,repaired,142.0
368,12595,2025-08-23,warranty,replaced,150.0
369,12633,2025-08-13,return,refunded,299.0
370,12641,2025-08-26,return,refunded,299.0
371,12658,2025-08-17,warranty,replaced,150.0
372,12665,2025-08-14,return,refunded,296.65
373,12687,2025-08-01,return,refunded,349.0
374,12723,2025-09-02,warranty,repaired,150.0
375,12759,2025-08-18,return,refunded,329.0
376,12792,2025-07-31,return,refunded,349.0
377,12860,2025-08-21,warranty,repaired,150.0
378,12900,2025-08-26,return,refunded,299.0
379,12951,2025-08-10,return,refunded,314.1
380,13001,2025-08-20,return,refunded,349.0
381,13006,2025-09-08,return,refunded,349.0
382,13025,2025-08-29,return,refunded,349.0
383,13081,2025-09-09,warranty,replaced,150.0
384,13159,2025-09-07,warranty,replaced,129.0
385,13173,2025-09-04,warranty,repaired,150.0
386,13178,2025-08-22,warranty,replaced,150.0
387,13239,2025-09-17,warranty,repaired,150.0
388,13299,2025-08-30,warranty,replaced,150.0
389,13340,2025-09-05,warranty,replaced,150.0
390,13360,2025-08-24,return,refunded,314.1
391,13371,2025-09-19,return,refunded,349.0
392,13380,2025-08-28,warranty,replaced,129.0
393,13405,2025-08-30,warranty,repaired,150.0
394,13431,2025-09-05,warranty,replaced,150.0
395,13454,2025-09-19,warranty,replaced,150.0
396,13468,2025-08-25,warranty,repaired,129.0
397,13528,2025-09-04,warranty,repaired,129.0
398,13568,2025-09-20,return,refunded,349.0
399,13572,2025-09-25,warranty,replaced,129.0
400,13601,2025-09-16,return,refunded,349.0
401,13623,2025-09-22,return,refunded,449.1
402,13729,2025-09-05,warranty,repaired,215.0
403,13738,2025-09-22,warranty,replaced,129.0
404,13785,2025-09-07,warranty,repaired,150.0
405,13790,2025-09-11,warranty,repaired,150.0
406,13803,2025-09-10,warranty,repaired,150.0
407,13808,2025-09-29,warranty,repaired,129.0
408,13944,2025-09-18,warranty,repaired,129.0
409,13981,2025-10-03,return,refunded,299.0
410,13987,2025-09-04,warranty,replaced,150.0
411,13992,2025-09-16,warranty,replaced,150.0
412,14009,2025-09-24,warranty,repaired,142.0
413,14041,2025-09-15,warranty,replaced,142.0
414,14045,2025-09-28,return,refunded,299.0
415,14047,2025-09-20,warranty,replaced,129.0
416,14145,2025-09-11,warranty,replaced,129.0
417,14153,2025-09-12,warranty,replaced,129.0
418,14169,2025-10-11,warranty,replaced,129.0
419,14212,2025-09-24,return,refunded,296.1
420,14258,2025-10-03,warranty,replaced,150.0
421,14275,2025-09-14,warranty,replaced,129.0
422,14326,2025-10-14,warranty,repaired,142.0
423,14344,2025-10-12,warranty,replaced,150.0
424,14436,2025-10-05,warranty,replaced,150.0
425,14475,2025-10-03,warranty,repaired,215.0
426,14490,2025-10-04,warranty,repaired,215.0
427,14585,2025-10-19,warranty,replaced,150.0
428,14622,2025-10-15,return,refunded,349.0
429,14774,2025-10-12,warranty,repaired,215.0
430,14921,2025-10-22,warranty,repaired,129.0
431,14931,2025-10-28,warranty,repaired,215.0
432,14951,2025-09-29,warranty,repaired,129.0
433,14962,2025-10-20,warranty,replaced,150.0
434,15048,2025-11-03,warranty,replaced,150.0
435,15054,2025-10-24,return,refunded,499.0
436,15188,2025-10-19,warranty,replaced,150.0
437,15228,2025-10-22,warranty,replaced,150.0
438,15317,2025-10-12,warranty,repaired,215.0
439,15336,2025-10-27,return,refunded,314.1
440,15421,2025-10-31,warranty,replaced,150.0
441,900267,2025-10-12,return,refunded,349.0
442,15501,2025-10-26,warranty,repaired,215.0
443,15576,2025-10-27,warranty,replaced,150.0
444,15596,2025-11-04,warranty,replaced,150.0
445,15620,2025-11-08,warranty,replaced,150.0
446,15680,2025-10-22,warranty,repaired,150.0
447,15690,2025-11-08,return,refunded,349.0
448,15769,2025-11-07,warranty,repaired,150.0
449,15788,2025-11-16,return,refunded,499.0
450,15789,2025-10-26,return,refunded,329.0
451,15796,2025-11-15,warranty,replaced,150.0
452,15826,2025-11-02,warranty,repaired,142.0
453,15842,2025-10-24,return,refunded,269.1
454,15887,2025-11-26,return,refunded,349.0
455,15984,2025-11-22,return,refunded,349.0
456,15985,2025-10-25,warranty,replaced,150.0
457,16044,2025-11-28,warranty,repaired,150.0
458,16057,2025-11-01,warranty,repaired,129.0
459,16059,2025-11-05,warranty,repaired,129.0
460,16094,2025-11-25,warranty,repaired,129.0
461,16262,2025-11-16,warranty,repaired,150.0
462,16316,2025-11-11,warranty,repaired,142.0
463,16342,2025-11-06,warranty,repaired,129.0
464,16348,2025-12-05,warranty,replaced,150.0
465,16357,2025-12-07,warranty,replaced,150.0
466,16372,2025-11-22,warranty,replaced,129.0
467,16373,2025-12-01,warranty,repaired,129.0
468,16384,2025-12-03,warranty,replaced,150.0
469,16401,2025-11-27,return,refunded,299.0
470,16403,2025-12-04,return,refunded,299.0
471,16414,2025-11-16,warranty,repaired,150.0
472,16485,2025-11-26,warranty,replaced,129.0
473,16503,2025-12-03,return,refunded,329.0
474,16513,2025-12-08,warranty,repaired,129.0
475,16514,2025-11-17,return,refunded,314.1
476,16516,2025-12-10,return,refunded,499.0
477,16525,2025-12-10,return,refunded,499.0
478,16594,2025-11-10,return,refunded,299.0
479,16634,2025-11-16,warranty,repaired,215.0
480,16641,2025-11-12,warranty,replaced,150.0
481,16643,2025-11-17,warranty,replaced,150.0
482,16689,2025-12-07,warranty,replaced,142.0
483,16697,2025-12-11,return,refunded,349.0
484,16783,2025-11-18,warranty,repaired,150.0
485,16791,2025-12-13,warranty,repaired,129.0
486,16861,2025-11-17,warranty,repaired,129.0
487,16952,2025-12-17,warranty,replaced,129.0
488,17057,2025-11-23,warranty,replaced,150.0
489,17069,2025-11-20,warranty,repaired,142.0
490,17073,2025-12-17,warranty,repaired,129.0
491,17166,2025-12-12,return,refunded,349.0
492,17201,2025-11-19,return,refunded,314.1
493,17247,2025-12-16,return,refunded,349.0
494,17255,2025-11-26,return,refunded,269.1
495,17263,2025-12-02,warranty,replaced,150.0
496,17278,2025-12-22,warranty,repaired,215.0
497,17283,2025-12-12,warranty,repaired,129.0
498,17346,2025-12-10,warranty,replaced,150.0
499,17375,2025-12-22,warranty,repaired,150.0
500,17397,2025-11-30,warranty,repaired,129.0
501,17405,2025-12-27,return,refunded,349.0
502,17464,2025-12-18,return,refunded,296.65
503,17465,2025-12-03,warranty,repaired,150.0
504,17478,2025-12-25,warranty,repaired,150.0
505,17516,2025-12-23,warranty,replaced,150.0
506,17549,2025-12-25,return,refunded,254.15
507,17592,2025-12-21,warranty,repaired,150.0
508,17620,2025-11-30,warranty,replaced,150.0
509,17669,2025-12-28,warranty,repaired,150.0
510,17672,2025-12-24,return,refunded,299.0
511,17688,2025-12-23,warranty,repaired,150.0
512,17737,2025-12-06,warranty,repaired,129.0
513,17851,2025-12-07,return,refunded,299.0
514,17869,2025-12-10,warranty,replaced,150.0
515,17974,2025-12-06,warranty,repaired,129.0
516,17998,2025-12-10,warranty,replaced,129.0
517,18125,2025-12-10,return,refunded,349.0
518,18135,2025-12-30,warranty,replaced,150.0
519,18175,2025-12-26,warranty,repaired,142.0
520,18255,2025-12-25,warranty,replaced,150.0
521,18395,2025-12-23,warranty,repaired,129.0
522,18401,2025-12-15,warranty,replaced,150.0
523,18419,2025-12-11,warranty,replaced,150.0
524,18443,2025-12-13,warranty,replaced,129.0
525,18455,2025-12-28,warranty,replaced,150.0
526,18469,2025-12-28,return,refunded,349.0
527,18486,2025-12-31,warranty,replaced,150.0
528,18562,2025-12-31,warranty,replaced,150.0
529,18573,2025-12-13,warranty,replaced,150.0
530,18600,2025-12-09,return,refunded,349.0
531,18620,2025-12-31,warranty,replaced,150.0
532,18697,2025-12-26,warranty,replaced,142.0
533,18722,2025-12-31,return,refunded,329.0
534,18735,2025-12-29,warranty,replaced,129.0
535,18755,2025-12-31,warranty,repaired,215.0
536,18793,2025-12-16,return,refunded,349.0
537,18839,2025-12-31,warranty,replaced,129.0
538,18851,2025-12-31,warranty,replaced,129.0
539,18853,2025-12-31,return,refunded,314.1
540,18880,2025-12-31,warranty,replaced,215.0
541,18910,2025-12-31,warranty,repaired,129.0
542,18931,2025-12-21,return,refunded,296.65
543,18944,2025-12-31,warranty,replaced,150.0
544,18957,2025-12-31,return,refunded,349.0
545,18987,2025-12-29,return,refunded,296.1
546,900174,2025-12-16,warranty,repaired,215.0
547,19031,2025-12-31,warranty,repaired,150.0
548,19034,2025-12-31,warranty,repaired,150.0
549,19037,2025-12-31,warranty,replaced,129.0
550,19053,2025-12-29,warranty,replaced,142.0
551,19060,2025-12-17,warranty,replaced,129.0
552,19089,2025-12-31,warranty,repaired,129.0
553,19112,2025-12-28,warranty,replaced,142.0
554,19178,2025-12-31,warranty,replaced,150.0
555,19180,2025-12-31,warranty,replaced,142.0
556,19206,2025-12-31,warranty,repaired,215.0
557,19295,2025-12-19,warranty,repaired,150.0
558,19340,2025-12-31,return,refunded,269.1
559,19373,2025-12-31,warranty,repaired,150.0
560,19408,2025-12-31,warranty,repaired,150.0
561,19421,2025-12-31,warranty,replaced,129.0
562,19567,2025-12-23,warranty,repaired,129.0
563,19577,2025-12-31,warranty,replaced,150.0
564,19578,2025-12-31,warranty,replaced,129.0
565,19610,2025-12-31,return,refunded,296.1
566,19631,2025-12-31,return,refunded,299.0
567,19639,2025-12-31,return,refunded,349.0
568,19691,2025-12-31,warranty,replaced,150.0
569,19702,2025-12-31,return,refunded,299.0
570,19774,2025-12-31,return,refunded,296.1
571,19800,2025-12-31,warranty,repaired,129.0
572,19849,2025-12-31,warranty,repaired,129.0
573,19877,2025-12-31,warranty,replaced,129.0
574,19920,2025-12-31,warranty,replaced,215.0
575,19941,2025-12-31,return,refunded,329.0
576,19962,2025-12-31,warranty,replaced,150.0
577,20047,2025-12-31,return,refunded,499.0
578,20123,2025-12-31,warranty,replaced,129.0
579,20154,2025-12-31,warranty,replaced,150.0
580,20162,2025-12-31,warranty,replaced,129.0
581,20235,2025-12-31,return,refunded,314.1
582,20255,2025-12-31,return,refunded,349.0
583,20265,2025-12-31,warranty,repaired,150.0
584,20280,2025-12-31,warranty,replaced,129.0
585,20318,2025-12-31,return,refunded,349.0
586,20352,2025-12-31,warranty,replaced,129.0
587,20374,2025-12-31,warranty,replaced,150.0
588,20468,2025-12-31,warranty,replaced,129.0
589,20472,2025-12-31,warranty,repaired,142.0
590,20474,2025-12-31,return,refunded,349.0
591,20507,2025-12-31,warranty,repaired,150.0
592,20523,2025-12-31,return,refunded,296.65
593,20666,2025-12-31,warranty,replaced,150.0
594,20692,2025-12-31,warranty,repaired,129.0
595,20702,2025-12-31,warranty,replaced,150.0
596,20715,2025-12-31,warranty,repaired,142.0
597,20766,2025-12-31,return,refunded,349.0
